"x","y","cell","Grass","Temperate Broadleaf Deciduous Tree","Temperate Needleleaf Deciduous Tree","Temperate Needleleaf Evergreen Tree","NA"
141000,1486000,323,2,13,7,11,0
149000,1486000,324,2,5,2,3,0
157000,1486000,325,0,1,0,1,0
133000,1478000,618,0,0,1,1,0
141000,1478000,619,0,12,49,30,0
149000,1478000,620,0,17,37,29,0
157000,1478000,621,0,10,1,3,0
-19000,1470000,895,10,8,0,0,0
-11000,1470000,896,33,0,0,0,0
-3000,1470000,897,21,0,0,0,0
5000,1470000,898,8,0,0,0,0
133000,1470000,914,0,3,8,4,0
141000,1470000,915,0,11,36,47,0
149000,1470000,916,0,11,27,30,0
157000,1470000,917,0,1,0,0,0
-19000,1462000,1191,21,5,0,0,0
-11000,1462000,1192,74,0,0,0,0
-3000,1462000,1193,74,0,0,0,0
5000,1462000,1194,70,3,0,0,0
13000,1462000,1195,29,23,0,0,0
21000,1462000,1196,19,24,0,0,0
29000,1462000,1197,20,7,1,0,0
37000,1462000,1198,18,5,0,2,0
45000,1462000,1199,7,8,3,1,0
53000,1462000,1200,3,1,1,0,0
133000,1462000,1210,1,2,0,0,0
141000,1462000,1211,2,3,10,4,0
149000,1462000,1212,1,2,2,3,0
157000,1462000,1213,0,2,0,0,0
-19000,1454000,1487,18,4,0,0,0
-11000,1454000,1488,73,0,0,0,0
-3000,1454000,1489,70,3,0,0,0
5000,1454000,1490,70,1,0,0,0
13000,1454000,1491,32,29,0,0,0
21000,1454000,1492,31,15,0,0,0
29000,1454000,1493,57,6,0,0,0
37000,1454000,1494,67,0,0,0,0
45000,1454000,1495,30,6,3,0,0
53000,1454000,1496,21,0,10,0,0
61000,1454000,1497,13,0,17,1,0
69000,1454000,1498,28,13,5,3,0
77000,1454000,1499,9,11,10,4,0
85000,1454000,1500,0,1,24,6,0
93000,1454000,1501,1,1,15,2,0
101000,1454000,1502,1,2,3,2,0
-19000,1446000,1783,11,3,0,0,0
-11000,1446000,1784,69,4,0,0,0
-3000,1446000,1785,74,2,0,0,0
5000,1446000,1786,70,3,0,0,0
13000,1446000,1787,66,3,0,0,0
21000,1446000,1788,48,9,0,0,0
29000,1446000,1789,26,28,0,0,0
37000,1446000,1790,14,61,0,0,0
45000,1446000,1791,9,18,0,0,0
53000,1446000,1792,3,26,0,0,0
61000,1446000,1793,33,12,1,0,0
69000,1446000,1794,64,7,0,0,0
77000,1446000,1795,45,7,2,0,0
85000,1446000,1796,11,1,18,0,0
93000,1446000,1797,12,3,23,8,0
101000,1446000,1798,19,16,20,20,0
109000,1446000,1799,16,6,24,9,0
117000,1446000,1800,0,19,18,11,0
-19000,1438000,2079,4,0,0,0,0
-11000,1438000,2080,71,1,0,0,0
-3000,1438000,2081,70,2,0,0,0
5000,1438000,2082,65,11,0,0,0
13000,1438000,2083,58,15,0,0,0
21000,1438000,2084,44,11,0,0,0
29000,1438000,2085,26,39,0,0,0
37000,1438000,2086,2,33,0,0,0
45000,1438000,2087,0,41,0,0,0
53000,1438000,2088,19,51,0,0,0
61000,1438000,2089,44,6,0,0,0
69000,1438000,2090,66,10,0,0,0
77000,1438000,2091,64,8,1,0,0
85000,1438000,2092,53,6,0,0,0
93000,1438000,2093,14,2,5,0,0
101000,1438000,2094,5,21,30,25,0
109000,1438000,2095,13,7,34,13,0
117000,1438000,2096,14,29,17,9,0
125000,1438000,2097,3,2,0,0,0
133000,1438000,2098,1,11,2,3,0
141000,1438000,2099,0,37,17,13,0
149000,1438000,2100,0,20,2,5,0
-19000,1430000,2375,10,1,0,0,0
-11000,1430000,2376,74,1,0,0,0
-3000,1430000,2377,72,0,0,0,0
5000,1430000,2378,67,0,0,0,0
13000,1430000,2379,69,3,0,0,0
21000,1430000,2380,62,7,0,0,0
29000,1430000,2381,44,11,0,0,0
37000,1430000,2382,44,15,0,0,0
45000,1430000,2383,60,14,0,0,0
53000,1430000,2384,64,12,0,0,0
61000,1430000,2385,47,12,2,0,0
69000,1430000,2386,59,12,0,0,0
77000,1430000,2387,59,13,2,1,0
85000,1430000,2388,43,15,8,1,0
93000,1430000,2389,10,30,10,5,0
101000,1430000,2390,1,23,39,28,0
109000,1430000,2391,16,12,33,11,0
117000,1430000,2392,29,21,12,2,0
125000,1430000,2393,8,32,28,21,0
133000,1430000,2394,0,46,19,31,0
141000,1430000,2395,0,13,46,35,0
149000,1430000,2396,0,16,23,27,0
157000,1430000,2397,0,5,1,0,0
-19000,1422000,2671,47,5,0,0,0
-11000,1422000,2672,65,0,0,0,0
-3000,1422000,2673,68,0,0,0,0
5000,1422000,2674,74,0,0,0,0
13000,1422000,2675,65,3,0,0,0
21000,1422000,2676,49,8,0,0,0
29000,1422000,2677,33,30,0,0,0
37000,1422000,2678,42,35,0,0,0
45000,1422000,2679,23,44,0,0,0
53000,1422000,2680,33,30,0,0,0
61000,1422000,2681,50,11,1,0,0
69000,1422000,2682,56,10,0,0,0
77000,1422000,2683,50,17,3,0,0
85000,1422000,2684,35,27,3,1,0
93000,1422000,2685,14,31,24,11,0
101000,1422000,2686,10,14,38,14,0
109000,1422000,2687,27,2,26,19,0
117000,1422000,2688,36,7,13,10,0
125000,1422000,2689,2,19,35,39,0
133000,1422000,2690,0,36,30,37,0
141000,1422000,2691,0,15,33,37,0
149000,1422000,2692,0,7,48,25,0
157000,1422000,2693,0,17,40,24,0
165000,1422000,2694,0,3,2,1,0
-19000,1414000,2967,47,5,0,0,0
-11000,1414000,2968,20,0,0,0,0
-3000,1414000,2969,58,0,0,0,0
5000,1414000,2970,78,0,0,0,0
13000,1414000,2971,71,1,0,0,0
21000,1414000,2972,49,0,0,0,0
29000,1414000,2973,24,30,0,0,0
37000,1414000,2974,58,15,0,0,0
45000,1414000,2975,49,18,0,0,0
53000,1414000,2976,56,14,2,0,0
61000,1414000,2977,13,34,21,3,0
69000,1414000,2978,17,15,32,10,0
77000,1414000,2979,25,20,23,2,0
85000,1414000,2980,23,29,21,0,0
93000,1414000,2981,6,22,34,23,0
101000,1414000,2982,4,8,20,46,0
109000,1414000,2983,6,2,26,24,0
117000,1414000,2984,2,1,43,18,0
125000,1414000,2985,2,4,31,14,0
133000,1414000,2986,1,7,31,28,0
141000,1414000,2987,0,7,28,39,0
149000,1414000,2988,2,21,32,49,0
157000,1414000,2989,1,17,32,36,0
165000,1414000,2990,0,10,8,13,0
-27000,1406000,3262,0,2,0,0,0
-19000,1406000,3263,41,8,0,0,0
-11000,1406000,3264,72,0,0,0,0
-3000,1406000,3265,69,5,0,0,0
5000,1406000,3266,74,0,0,0,0
13000,1406000,3267,75,0,0,0,0
21000,1406000,3268,52,16,2,0,0
29000,1406000,3269,31,37,1,0,0
37000,1406000,3270,45,21,2,0,0
45000,1406000,3271,22,32,13,3,0
53000,1406000,3272,13,28,44,5,0
61000,1406000,3273,5,39,32,7,0
69000,1406000,3274,11,22,34,4,0
77000,1406000,3275,5,18,40,2,0
85000,1406000,3276,1,29,44,7,0
93000,1406000,3277,2,25,37,20,0
101000,1406000,3278,2,23,30,33,0
109000,1406000,3279,6,16,33,34,0
117000,1406000,3280,0,5,45,25,0
125000,1406000,3281,1,3,38,30,0
133000,1406000,3282,1,1,47,28,0
141000,1406000,3283,0,7,42,37,0
149000,1406000,3284,0,15,39,45,0
157000,1406000,3285,0,19,33,41,0
165000,1406000,3286,0,10,28,39,0
173000,1406000,3287,1,7,16,28,0
181000,1406000,3288,0,20,6,22,0
189000,1406000,3289,0,5,9,15,0
-27000,1398000,3558,1,3,0,0,0
-19000,1398000,3559,52,9,0,0,0
-11000,1398000,3560,54,1,0,0,0
-3000,1398000,3561,71,1,0,0,0
5000,1398000,3562,70,3,0,0,0
13000,1398000,3563,68,2,0,0,0
21000,1398000,3564,40,26,3,0,0
29000,1398000,3565,21,44,1,0,0
37000,1398000,3566,4,46,14,1,0
45000,1398000,3567,4,34,31,14,0
53000,1398000,3568,3,31,43,6,0
61000,1398000,3569,15,16,39,9,0
69000,1398000,3570,28,4,8,0,0
77000,1398000,3571,15,20,26,7,0
85000,1398000,3572,1,21,56,10,0
93000,1398000,3573,1,16,51,15,0
101000,1398000,3574,3,9,52,17,0
109000,1398000,3575,2,9,50,32,0
117000,1398000,3576,0,10,50,21,0
125000,1398000,3577,1,1,49,39,0
133000,1398000,3578,2,3,40,38,0
141000,1398000,3579,1,5,30,50,0
149000,1398000,3580,2,1,56,26,0
